dataset,group,m,k,algorithm,param_eps,div,num_elem,time1,time2,time3
adult,Sex,2,40,FairFlow,0.05,2.2842251202647255,-,-,-,10.797462728800019
adult,Sex,2,40,scalable_fmmd_ILP,0.05,3.8895499780342404,-,-,-,19.582254168001235
Adult,Sex,2,40,Alg1,0.05,3.360087861538198,248.8,0.0,5.11841090869857,5.11841090869857
Adult,Sex,2,40,Alg2,0.05,3.4968691680146726,370.9,0.0,8.340477556594124,8.340477556594124
Adult,Sex,2,40,FairGreedyFlow,0.05,1.5716002949654508,-,-,-,54.06001861760014
adult,Sex,2,50,FairSwap,0.05,3.2849606351348384,-,-,-,14.075880695998785
adult,Sex,2,50,FairFlow,0.05,2.1479398221398145,-,-,-,13.322511561101418
adult,Sex,2,50,scalable_fmmd_ILP,0.05,3.561374274177497,-,-,-,23.011723181800335
Adult,Sex,2,50,Alg1,0.05,2.8553686400641847,315.0,0.0,5.765925877200789,5.765925877200789
Adult,Sex,2,50,Alg2,0.05,3.219633310805654,455.7,0.0,9.736635956799727,9.736635956799727
Adult,Sex,2,50,FairGreedyFlow,0.05,1.4498563652222631,-,-,-,56.05347442389757
adult,Sex,2,60,FairSwap,0.05,3.007065974415029,-,-,-,16.601797055097997
adult,Sex,2,60,FairFlow,0.05,2.0013933678831988,-,-,-,15.92606260439643
adult,Sex,2,60,scalable_fmmd_ILP,0.05,3.3400623898579647,-,-,-,27.169545685700722
Adult,Sex,2,60,Alg1,0.05,2.5296372089407253,366.7,0.0,6.19703618229687,6.19703618229687
Adult,Sex,2,60,Alg2,0.05,2.9941678913957297,538.5,0.0,11.69970193689951,11.69970193689951
Adult,Sex,2,60,FairGreedyFlow,0.05,1.347577908119942,-,-,-,58.75965919530135
adult,Sex,2,70,FairSwap,0.05,2.9098603677023647,-,-,-,20.148475707002216
adult,Sex,2,70,FairFlow,0.05,1.8478231660826754,-,-,-,18.345616768898616
adult,Sex,2,70,scalable_fmmd_ILP,0.05,3.1875669676949654,-,-,-,31.201252575100806
Adult,Sex,2,70,Alg1,0.05,2.379580111366553,424.2,0.0,8.225557850900804,8.225557850900804
Adult,Sex,2,70,Alg2,0.05,2.8412218444670114,608.5,0.0,15.003111817900209,15.003111817900209
Adult,Sex,2,70,FairGreedyFlow,0.05,1.2704259209998425,-,-,-,62.87784830269811
adult,Sex,2,80,FairSwap,0.05,2.5182656043212055,-,-,-,22.496910434702293
adult,Sex,2,80,FairFlow,0.05,1.753854561660433,-,-,-,21.500396593000914
adult,Sex,2,80,scalable_fmmd_ILP,0.05,3.021430024531122,-,-,-,36.075701633999415
Adult,Sex,2,80,Alg1,0.05,2.554894246445438,475.9,0.0,9.437839950698253,9.437839950698253
Adult,Sex,2,80,Alg2,0.05,2.7401856971508383,684.3,0.0,17.652359373900982,17.652359373900982
Adult,Sex,2,80,FairGreedyFlow,0.05,1.2166206581945795,-,-,-,68.10387738370045
